group	video	score	level	edgeQuality	edgeLabel	avgSideslip	carvingConfidence	boardConfidence	boardFrames	boardSource
bad	video/bad/0b7522e9db823b910ac67727aea726da.MP4	65	中级	51.9	有立刃尝试	17	62.2	0.24	16	ankleProxy
bad	video/bad/v1e00fgi0000cv786ffog65rtmm48gmg.MOV	62	中级	52.7	有立刃尝试	22.4	57.6	0.06	9	ankleProxy
bad	video/bad/v2800fgi0000d4v24r7og65oi0fmka5g.MP4	62	中级	66.3	刻滑雏形	16.1	64.2	0.14	7	ankleProxy
bad	video/bad/v0200fg10000d6olrffog65vrste5qqg.MOV	58	初级	49.9	有立刃尝试	17	63	0.28	67	ankleProxy
bad	video/bad/v0200fg10000d7nnh5vog65i52ermgog.MP4	58	初级	46.1	有立刃尝试	14.5	67.8	0.44	9	ankleProxy
bad	video/bad/v0d00fg10000ctm0ufvog65rqb97g2p0.MP4	58	初级	47.4	有立刃尝试	28	43.6	0.06	23	ankleProxy
bad	video/bad/v0300fg10000cusoptnog65pkehng280.MP4	53.5	初级	35.7	搓雪为主	2.2	95	0.27	13	ankleProxy
bad	video/bad/v0d00fg10000csgr6inog65n8mlpg2m0.MP4	51.7	初级	38.6	搓雪为主	20.9	53.4	0.32	12	ankleProxy
bad	video/bad/v0300fg10000d664l37og65t6pnbois0.MOV	47.6	初级	32.1	搓雪为主	77.7	0	0.50	7	ankleProxy
good	video/good/v0200fg10000d7r0017og65qoh1vgeg0.MP4	94.1	专业	68.6	刻滑雏形	30.5	32.3	0.13	6	ankleProxy
good	video/good/641efed02be271b6d9f014c97d1f8ae0.MOV	88.5	专业	79.2	走刃较稳定	28.9	48.1	0.10	81	ankleProxy
good	video/good/v1e00fgi0000d5utfk7og65q1chsrq8g.MP4	83.3	高级	61.1	刻滑雏形	8.5	81.2	0.23	24	ankleProxy
good	video/good/3e6f37fe76521781506c19c02c1b97ed.MP4	79.9	高级	66.8	刻滑雏形	17.5	73	0.13	11	ankleProxy
good	video/good/d63bfbf8978cf8a962f613a489a14420.MP4	79.5	高级	60.8	刻滑雏形	26.5	53.4	0.29	44	ankleProxy
good	video/good/9ed0bb6c707fc47fce153cee3dcd365e.MP4	79.1	高级	46.3	有立刃尝试	54.6	13.9	0.31	32	ankleProxy
good	video/good/v0200fg10000d6mln8vog65kajcq52dg.MP4	78	高级	60.4	刻滑雏形	32.1	43	0.15	56	ankleProxy
good	video/good/3134552bed78447b9f7ba8e2003ce678.MP4	76	高级	68.9	刻滑雏形	30.6	54.6	0.14	44	ankleProxy
good	video/good/v2800fgi0000d7o00ufog65t0ran4h1g.MP4	72.6	中级	71.9	走刃较稳定	37.4	21.1	0.11	10	ankleProxy
good	video/good/86ae42724c8349913703af0f4140f6d2.MP4	70.9	中级	56.4	刻滑雏形	13.8	75.9	0.12	24	ankleProxy
good	video/good/0946ed384e732c357a3d55fac77426c0.MP4	70.2	中级	59.9	刻滑雏形	17	62.2	0.45	21	ankleProxy
good	video/good/5382da0c825e30518ab376505cbcfaf2.MOV	70	中级	61.1	刻滑雏形	39.7	25.7	0.27	44	ankleProxy
good	video/good/v0300fg10000d7h0ckfog65nmsn20jqg.MP4	70	中级	62.8	刻滑雏形	31.6	33.1	0.21	17	ankleProxy
good	video/good/v1e00fgi0000d2bufenog65temc6sh70.MP4	70	中级	57.8	刻滑雏形	36.8	30.2	0.42	9	ankleProxy
good	video/good/v2800fgi0000d6m0mk7og65qamcvgf80.MP4	70	中级	75.5	走刃较稳定	30.3	33.3	0.21	17	ankleProxy
middle	video/middle/96001e37e76be9ef6cf7a65e73efcac4.MP4	85.3	专业	74.5	走刃较稳定	9.8	78.2	0.22	25	ankleProxy
middle	video/middle/9714be3aba73f5f94130750c2a15d381.MP4	79.3	高级	61.6	刻滑雏形	27.9	55.2	0.18	40	ankleProxy
middle	video/middle/v0200fg10000d6a4i57og65mkjkcdpu0.MP4	78	高级	58.2	刻滑雏形	13.4	73.5	0.16	10	ankleProxy
middle	video/middle/4a7dfe960f07ac14b06bbd8de3d38aa4.MP4	76.9	高级	73.2	走刃较稳定	31.9	31.8	0.13	33	ankleProxy
middle	video/middle/v2800fgi0000d5ehg1vog65tinkepgl0.MP4	74.5	中级	59.7	刻滑雏形	28	46.5	0.25	54	ankleProxy
middle	video/middle/a7791a475a244c938dd0815e89b1dec5.MP4	72	中级	58.9	刻滑雏形	17.2	61.8	0.19	32	ankleProxy
middle	video/middle/ccfd9967aa6d3ab5abd04fb8991872c7.MOV	72	中级	64.6	刻滑雏形	6.4	85.7	0.25	11	ankleProxy
middle	video/middle/b343b317a6689df373085ec85e042480.MP4	70	中级	70.8	走刃较稳定	41.9	23.5	0.17	46	ankleProxy
middle	video/middle/v2800fgi0000d54jhefog65lbfdhma2g.MP4	70	中级	53.6	有立刃尝试	54.4	33.4	0.14	14	ankleProxy
middle	video/middle/v0d00fg10000cu3omkvog65r22seg0t0.MP4	69.4	中级	54.9	有立刃尝试	16.3	63.9	0.15	12	ankleProxy
middle	video/middle/1c5771fc7dd1ea546eb5bc3e4e01bc48.MP4	65	中级	47.4	有立刃尝试					
middle	video/middle/4f9ec73b994b63b0775ccfb7a8ef7e6f.MP4	58	初级	53.3	有立刃尝试	55.7	4.5	0.32	15	ankleProxy
middle	video/middle/992f063b79d27b96b471e44a48d8465e.MP4	58	初级	41.2	有立刃尝试	60.8	3.3	0.30	29	ankleProxy
middle	video/middle/v0200fg10000coc7bcrc77u875h9q7sg.MP4	58	初级	50.4	有立刃尝试	45.8	26.9	0.20	94	ankleProxy
middle	video/middle/v0200fg10000d318sovog65g16lolm8g.MP4	58	初级	46.1	有立刃尝试	72.9	0	0.43	7	ankleProxy
middle	video/middle/v0300fg10000d4oq6avog65ihr8qf550.MP4	58	初级	37.7	搓雪为主	43.5	28.8	0.08	92	ankleProxy
middle	video/middle/v0300fg10000d5h313fog65nermuqklg.MP4	58	初级	47.3	有立刃尝试			0.73	5	ankleProxy
middle	video/middle/v1e00fgi0000d5bksdfog65irrhr4bog.MP4	58	初级	44.6	有立刃尝试			0.03	8	ankleProxy
middle	video/middle/v0200fg10000d2tcts7og65t6h63ua2g.MP4	57.9	初级	37.7	搓雪为主	42.9	25.3	0.22	15	ankleProxy
middle	video/middle/v0300fg10000d6fe0nnog65jmdun29vg.MP4	55	初级	37.4	搓雪为主					
root	video/3.MP4	85.9	专业	63.1	刻滑雏形	20.6	55.4	0.21	12	ankleProxy
root	video/4.MP4	65	中级	55.4	刻滑雏形					
root	video/1.MP4	58	初级	35.4	搓雪为主	21	58.6	0.12	24	ankleProxy
root	video/2.MP4	58	初级	44.6	有立刃尝试	22.3	50.5	0.45	13	ankleProxy
root	video/5.mp4	58	初级	44.6	有立刃尝试	34.6	51	0.43	11	ankleProxy
