group	video	score	level	rawPoseAverage	bestThirdAverage	evidenceCapped	flowFactor	edgeQuality	edgeLabel	avgSideslip	carvingConfidence	boardConfidence	boardFrames	boardSource	flowFramePairs	flowMotionCoherence	flowDirectionalStability	flowVelocitySmoothness
testvideo	testvideo/1.MP4	59.7	初级	52.7	59.5	58	1.03	35.8	搓雪为主	21	58.6	0.12	117	ankleProxy	116	65	100	0
testvideo	testvideo/2.MP4	55.1	初级	61.9	69.1	58	0.95	44.8	有立刃尝试	22.3	50.5	0.45	62	ankleProxy	61	24.1	66.5	0
testvideo	testvideo/3.MP4	81.6	高级	74.8	85.9	85.9	0.95	63.8	刻滑雏形	20.6	55.4	0.21	58	ankleProxy	72	48.9	92.5	0
testvideo	testvideo/4.MP4	70.2	中级	70.5	70.5	65	1.08	55.4	刻滑雏形						26	64.2	100	100
testvideo	testvideo/5.mp4	55.1	初级	54.6	62.2	58	0.95	44.2	有立刃尝试	34.6	51	0.43	54	ankleProxy	53	43.5	66.2	0
testvideo	testvideo/6.MP4	66.5	中级	71.1	81.2	70	0.95	68.2	刻滑雏形	37	28.4	0.2	103	ankleProxy	114	34.6	47.3	0
bad	video/bad/0b7522e9db823b910ac67727aea726da.MP4	70.2	中级	63.8	71.3	65	1.08	51.7	有立刃尝试	17	62.2	0.24	84	ankleProxy	152	78.2	99.6	0
bad	video/bad/v0200fg10000d6olrffog65vrste5qqg.MOV	59.7	初级	63.1	76.3	58	1.03	49.8	有立刃尝试	17	63	0.28	334	ankleProxy	333	56.6	80.4	0
bad	video/bad/v0200fg10000d7nnh5vog65i52ermgog.MP4	55.1	初级	60.9	64.4	58	0.95	46.3	有立刃尝试	14.5	67.8	0.44	42	ankleProxy	68	33.1	56.7	0
bad	video/bad/v0300fg10000cusoptnog65pkehng280.MP4	57.6	初级	50.1	53.3	53.3	1.08	35.9	搓雪为主	2.2	95	0.27	63	ankleProxy	82	84.8	100	0
bad	video/bad/v0300fg10000d664l37og65t6pnbois0.MOV	49	初级	47.1	47.6	47.6	1.03	31.9	搓雪为主	77.7	0	0.5	31	ankleProxy	30	34.1	100	0
bad	video/bad/v0d00fg10000csgr6inog65n8mlpg2m0.MP4	49.1	初级	51.2	51.7	51.7	0.95	38.9	搓雪为主	20.9	53.4	0.32	56	ankleProxy	55	14.9	67.9	0
bad	video/bad/v0d00fg10000ctm0ufvog65rqb97g2p0.MP4	55.1	初级	67	74.2	58	0.95	48.3	有立刃尝试	27.8	44	0.05	112	ankleProxy	111	51.8	65.2	0
bad	video/bad/v1e00fgi0000cv786ffog65rtmm48gmg.MOV	58.9	初级	59	66.9	62	0.95	53.5	有立刃尝试	22.4	57.6	0.06	41	ankleProxy	40	15.7	5	0
bad	video/bad/v2800fgi0000d4v24r7og65oi0fmka5g.MP4	63.9	中级	75.6	79.1	62	1.03	68.1	刻滑雏形	16.1	64.2	0.14	32	ankleProxy	44	31.6	100	0
good	video/good/0946ed384e732c357a3d55fac77426c0.MP4	72.7	中级	62.8	70.6	70.6	1.03	60.5	刻滑雏形	17	62.2	0.45	105	ankleProxy	155	21.8	100	0
good	video/good/3134552bed78447b9f7ba8e2003ce678.MP4	72.2	中级	67.9	76	76	0.95	68.5	刻滑雏形	30.6	54.6	0.14	220	ankleProxy	249	29.6	100	0
good	video/good/3e6f37fe76521781506c19c02c1b97ed.MP4	83.2	高级	69.2	87.6	87.6	0.95	68.5	刻滑雏形	17.5	73	0.13	51	ankleProxy	102	49.5	99.2	0
good	video/good/5382da0c825e30518ab376505cbcfaf2.MOV	72.1	中级	62.1	71.5	70	1.03	61.4	刻滑雏形	39.7	25.7	0.27	217	ankleProxy	216	5.1	73.8	0
good	video/good/641efed02be271b6d9f014c97d1f8ae0.MOV	77	高级	82.2	88.5	88.5	0.87	79.3	走刃较稳定	28.9	48.1	0.1	408	ankleProxy	407	51.3	11.5	0
good	video/good/86ae42724c8349913703af0f4140f6d2.MP4	67.3	中级	61.2	70.9	70.9	0.95	56.3	刻滑雏形	13.8	75.9	0.12	116	ankleProxy	115	49.2	35	0
good	video/good/9ed0bb6c707fc47fce153cee3dcd365e.MP4	75.1	高级	59	72.9	79.1	0.95	46.8	有立刃尝试	54.6	13.9	0.31	156	ankleProxy	207	34.3	97.1	0
good	video/good/d63bfbf8978cf8a962f613a489a14420.MP4	66.5	中级	72.8	79.6	70	0.95	61.1	刻滑雏形	31.3	45.6	0.3	220	ankleProxy	254	64.4	61.1	0
good	video/good/v0200fg10000d6mln8vog65kajcq52dg.MP4	74	中级	66.5	77.9	77.9	0.95	60.6	刻滑雏形	32.1	43	0.15	278	ankleProxy	277	39.9	38.5	0
good	video/good/v0200fg10000d7r0017og65qoh1vgeg0.MP4	89.3	专业	81	94	94	0.95	70.3	走刃较稳定	30.5	32.3	0.13	25	ankleProxy	97	67.2	95.1	0
good	video/good/v0300fg10000d7h0ckfog65nmsn20jqg.MP4	66.5	中级	67.5	72.9	70	0.95	63.1	刻滑雏形	31.6	33.1	0.21	81	ankleProxy	80	51.9	52.6	0
good	video/good/v1e00fgi0000d2bufenog65temc6sh70.MP4	72.1	中级	62.5	71.3	70	1.03	58.1	刻滑雏形	36.8	30.2	0.42	47	ankleProxy	68	48.4	80.2	0
good	video/good/v1e00fgi0000d5utfk7og65q1chsrq8g.MP4	79	高级	70.4	83.2	83.2	0.95	61.5	刻滑雏形	8.5	81.2	0.23	120	ankleProxy	119	28.9	79.8	0
good	video/good/v2800fgi0000d6m0mk7og65qamcvgf80.MP4	78.4	高级	71.4	78.4	78.4	1	75.3	走刃较稳定	30.3	33.3	0.21	83	ankleProxy	145	93.6	100	0
good	video/good/v2800fgi0000d7o00ufog65t0ran4h1g.MP4	75	中级	72.2	72.8	72.8	1.03	71.9	走刃较稳定	37.4	21.1	0.11	47	ankleProxy	46	56.5	100	0
middle	video/middle/1c5771fc7dd1ea546eb5bc3e4e01bc48.MP4	66.9	中级	65	65	65	1.03	47.4	有立刃尝试						169	25.5	100	0
middle	video/middle/4a7dfe960f07ac14b06bbd8de3d38aa4.MP4	73.1	中级	74.7	76.9	76.9	0.95	73.5	走刃较稳定	31.9	31.8	0.13	164	ankleProxy	163	53.8	100	0
middle	video/middle/4f9ec73b994b63b0775ccfb7a8ef7e6f.MP4	59.7	初级	62.2	72.7	58	1.03	53.3	有立刃尝试	55.7	4.5	0.32	69	ankleProxy	68	54.4	100	0
middle	video/middle/96001e37e76be9ef6cf7a65e73efcac4.MP4	85.3	专业	81.4	85.3	85.3	1	75.4	走刃较稳定	9.8	78.2	0.22	123	ankleProxy	147	71.7	100	0
middle	video/middle/9714be3aba73f5f94130750c2a15d381.MP4	75.3	高级	74	79.2	79.2	0.95	61.6	刻滑雏形	27.9	55.2	0.18	199	ankleProxy	230	45.9	92.9	0
middle	video/middle/992f063b79d27b96b471e44a48d8465e.MP4	55.1	初级	57.9	64.5	58	0.95	41.5	有立刃尝试	60.8	3.3	0.3	143	ankleProxy	177	48.7	69.4	0
middle	video/middle/a7791a475a244c938dd0815e89b1dec5.MP4	74.1	中级	67.6	72	72	1.03	59	刻滑雏形	17.2	61.8	0.19	158	ankleProxy	157	54	82.4	0
middle	video/middle/b343b317a6689df373085ec85e042480.MP4	72.1	中级	74	83.9	70	1.03	71.5	走刃较稳定	41.9	23.5	0.17	229	ankleProxy	263	36.4	98	0
middle	video/middle/ccfd9967aa6d3ab5abd04fb8991872c7.MOV	68.4	中级	64.6	72	72	0.95	65.7	刻滑雏形	6.4	85.7	0.25	52	ankleProxy	51	36.1	45.4	0
middle	video/middle/v0200fg10000coc7bcrc77u875h9q7sg.MP4	55.1	初级	69.3	77.3	58	0.95	50.8	有立刃尝试	45.8	26.9	0.2	470	ankleProxy	494	65.5	30.9	0
middle	video/middle/v0200fg10000d2tcts7og65t6h63ua2g.MP4	58	初级	53.6	58.2	58	1	38.7	搓雪为主	35.9	31	0.21	75	ankleProxy	81	70.8	46	0
middle	video/middle/v0200fg10000d318sovog65g16lolm8g.MP4	55.1	初级	55.4	63.1	58	0.95	45.5	有立刃尝试	72.9	0	0.43	32	ankleProxy	51	49.3	41.8	0
middle	video/middle/v0200fg10000d6a4i57og65mkjkcdpu0.MP4	76.2	高级	68.9	80.2	80.2	0.95	59.6	刻滑雏形	13.4	73.5	0.16	54	ankleProxy	53	55.6	100	0
middle	video/middle/v0300fg10000d4oq6avog65ihr8qf550.MP4	59.7	初级	55.3	66.4	58	1.03	38.1	搓雪为主	43.5	28.8	0.08	461	ankleProxy	480	58.2	72.8	0
middle	video/middle/v0300fg10000d5h313fog65nermuqklg.MP4	62.6	中级	62.6	62.6	58	1.08	47.3	有立刃尝试			0.73	26	ankleProxy	25	21.3	100	100
middle	video/middle/v0300fg10000d6fe0nnog65jmdun29vg.MP4	62.2	中级	61	61	55	1.13	37.4	搓雪为主						16	100	100	100
middle	video/middle/v0d00fg10000cu3omkvog65r22seg0t0.MP4	71.4	中级	65.9	69.3	69.3	1.03	55.7	刻滑雏形	16.3	63.9	0.15	61	ankleProxy	60	63.4	100	0
middle	video/middle/v1e00fgi0000d5bksdfog65irrhr4bog.MP4	59.7	初级	58.4	63.6	58	1.03	44.5	有立刃尝试			0.03	42	ankleProxy	62	43.7	100	0
middle	video/middle/v2800fgi0000d54jhefog65lbfdhma2g.MP4	61.8	中级	66.8	74.8	65	0.95	53.7	有立刃尝试	54.4	33.4	0.14	71	ankleProxy	86	24.5	6	0
middle	video/middle/v2800fgi0000d5ehg1vog65tinkepgl0.MP4	76.9	高级	66.6	74.7	74.7	1.03	60.4	刻滑雏形	28	46.5	0.25	267	ankleProxy	266	57.3	100	0
