alias	coach	coachBand	actual	baseline_top33	wmean	median	wmedian	top50	top25	p67	blend25	blend40	blend50	blend75	headroom25	headroom40	headroom50	headroom60	trim10_33	trim20_33	trim25_33
BND_HI1	高质量	3	92.02	92.022	75.994	73.841	72.868	87.497	92.022	85.675	80.001	82.405	84.008	88.015	80.001	82.405	84.008	85.611	70.356	71.994	72.919
BND_HI2	专业	4	91.47	91.473	77.882	75.600	75.435	88.112	91.473	87.871	81.280	83.318	84.678	88.075	81.280	83.318	84.678	86.037	73.550	75.402	76.174
BND_HI3	高质量	3	87.27	87.266	72.379	71.452	70.399	84.352	87.266	83.842	76.101	78.334	79.822	83.544	76.101	78.334	79.822	81.311	67.996	70.069	71.268
BND_M1	中偏上	2	78.01	78.009	68.047	68.672	68.070	75.590	78.009	72.000	70.538	72.032	73.028	75.519	70.538	72.032	73.028	74.025	64.685	66.625	67.332
BND_M2	中级	1	72.00	72.000	67.029	64.681	64.697	72.000	72.000	71.120	70.082	71.914	72.000	72.000	70.082	71.914	72.000	72.000	62.807	63.880	64.451
BND_M3	中级	1	72.24	72.243	60.868	58.428	58.428	68.581	72.243	62.844	63.712	65.418	66.555	69.399	63.712	65.418	66.555	67.693	55.468	56.519	57.481
BND_M4	中偏上	2	72.00	72.000	65.342	60.506	61.208	72.000	72.000	63.150	69.260	71.611	72.000	72.000	69.260	71.611	72.000	72.000	60.151	61.337	61.817
BND_L1	中级	1	65.11	65.112	57.609	55.565	54.980	61.923	65.112	60.508	60.299	61.913	62.988	62.550	60.299	61.913	62.988	61.014	53.510	54.419	54.659
BND_L2	中级	1	62.00	62.000	58.469	58.025	57.993	62.702	62.000	60.559	60.228	61.283	61.987	60.710	60.228	61.283	61.987	62.690	56.907	57.474	57.806
BND_L3	中级	1	62.00	62.000	57.405	56.351	56.506	62.000	62.000	59.499	59.465	60.700	61.524	62.000	59.465	60.700	61.524	62.000	54.521	55.943	56.392
BND2_TOP	专业	4	97.20	97.198	85.589	92.264	92.069	95.924	97.198	95.127	88.491	90.233	91.394	94.296	88.491	90.233	91.394	92.555	85.132	88.022	89.250
BND2_H4	专业	4	89.20	89.201	76.349	76.911	76.694	86.347	89.201	83.695	79.562	81.490	82.775	85.988	79.562	81.490	82.775	84.060	72.248	74.220	75.279
BND2_H3	专业	4	88.63	88.626	69.133	70.522	71.589	83.841	88.626	80.718	74.006	76.930	78.879	83.753	74.006	76.930	78.879	80.829	62.033	65.333	67.343
BND2_H2	专业	4	87.89	87.886	73.152	73.197	73.197	84.848	87.886	82.267	76.835	79.045	80.519	84.203	76.835	79.045	80.519	81.992	68.212	70.726	72.005
BND2_H1	专业	4	87.63	87.632	73.869	77.763	75.978	84.555	87.632	81.292	77.310	79.374	80.750	84.191	77.310	79.374	80.750	82.127	70.938	73.475	74.693
BND2_H0	专业	4	83.54	83.541	71.892	72.491	71.836	80.382	83.541	75.666	74.804	76.551	77.716	80.629	74.804	76.551	77.716	78.881	68.473	69.952	70.711
BND2_GM	中偏上	2	75.60	75.600	67.964	66.114	65.561	75.600	75.600	74.205	71.436	73.518	74.907	75.600	71.436	73.518	74.907	75.600	63.396	64.957	65.614
BND2_LB	初级	0	65.10	65.100	61.121	53.454	51.417	65.100	65.100	65.100	65.100	65.100	65.100	65.100	65.100	65.100	65.100	65.100	52.317	53.181	53.654
BND2_L6	初级	0	62.00	62.000	59.229	57.924	57.789	62.000	62.000	60.418	61.986	62.000	62.000	62.000	61.986	62.000	62.000	62.000	55.281	56.316	56.820
BND2_LM	中级	1	62.00	62.000	61.169	60.166	60.063	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	59.953	60.219	60.293
BND2_L5	初级	0	62.00	62.000	58.541	56.499	56.499	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	50.956	53.261	54.502
BND2_L4	初级	0	62.00	62.000	53.306	49.301	49.006	62.000	62.000	59.907	58.043	60.885	62.780	62.000	58.043	60.885	62.780	61.595	46.541	47.705	48.491
BND2_L3	初级	0	62.00	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000	62.000
BND2_L2	初级	0	60.67	60.673	55.470	55.766	55.766	61.477	60.673	58.249	57.529	58.765	59.588	61.647	57.529	58.765	59.588	60.412	52.586	53.903	54.669
BND2_L1	初级	0	59.89	59.888	53.889	55.479	53.805	58.488	59.888	56.587	55.389	56.289	56.889	58.388	55.389	56.289	56.889	57.488	52.464	53.295	53.757
