index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png											
2	1.00	frame_0002_00-01.png											
3	2.00	frame_0003_00-02.png	40.00	0.00	-80.00	0.50	0.18						
4	3.00	frame_0004_00-03.png	40.00	0.00	-80.00	0.50	0.18						
5	4.00	frame_0005_00-04.png	40.00	0.00	-80.00	0.50	0.18						
6	5.00	frame_0006_00-05.png	40.00	0.00	-80.00	0.50	0.18						
7	6.00	frame_0007_00-06.png	50.00	0.00									
8	7.00	frame_0008_00-07.png	50.00	0.00									
9	8.00	frame_0009_00-08.png	50.00	0.00									
10	9.00	frame_0010_00-09.png	50.00	0.00									
11	10.00	frame_0011_00-10.png											
12	11.00	frame_0012_00-11.png											
13	12.00	frame_0013_00-12.png											
14	13.00	frame_0014_00-13.png											
15	14.00	frame_0015_00-14.png											
16	15.00	frame_0016_00-15.png	52.14	29.33	-11.52	0.94	0.19	ankleProxy	168.48				0.73
17	16.00	frame_0017_00-16.png	52.14	29.33	-11.52	0.94	0.19	ankleProxy	168.48				0.73
18	17.00	frame_0018_00-17.png	52.14	29.33	-11.52	0.94	0.19	ankleProxy	168.48				0.73
19	18.00	frame_0019_00-18.png	52.14	29.33	-11.52	0.94	0.19	ankleProxy	168.48	-0.33	11.19	75.13	0.50
20	19.00	frame_0020_00-19.png	60.10	55.67	-85.00	0.63	0.18						
21	20.00	frame_0021_00-20.png	60.10	55.67	-85.00	0.63	0.18						
22	21.00	frame_0022_00-21.png	60.10	55.67	-85.00	0.63	0.18						
23	22.00	frame_0023_00-22.png											
24	23.00	frame_0024_00-23.png											
25	24.00	frame_0025_00-24.png											
26	25.00	frame_0026_00-25.png											
27	26.00	frame_0027_00-26.png											
28	27.00	frame_0028_00-27.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98	-0.33	8.69	80.70	0.06
29	28.00	frame_0029_00-28.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98				0.08
30	29.00	frame_0030_00-29.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98				0.08
31	30.00	frame_0031_00-30.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98				0.08
32	31.00	frame_0032_00-31.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98				0.08
33	32.00	frame_0033_00-32.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98				0.08
34	33.00	frame_0034_00-33.png	67.61	46.63	-9.02	0.11	0.05	ankleProxy	170.98	-148.38	40.64	9.69	0.05
35	34.00	frame_0035_00-34.png											
36	35.00	frame_0036_00-35.png											
37	36.00	frame_0037_00-36.png											
38	37.00	frame_0038_00-37.png											
39	38.00	frame_0039_00-38.png											
40	39.00	frame_0040_00-39.png											
41	40.00	frame_0041_00-40.png											
42	41.00	frame_0042_00-41.png	71.27	42.05	8.04	1.00	0.22	ankleProxy	-171.96	-148.38	23.58	47.59	0.34
43	42.00	frame_0043_00-42.png	71.27	42.05	8.04	1.00	0.22	ankleProxy	-171.96				0.60
44	43.00	frame_0044_00-43.png	71.27	42.05	8.04	1.00	0.22	ankleProxy	-171.96				0.60
45	44.00	frame_0045_00-44.png	71.27	42.05	8.04	1.00	0.22	ankleProxy	-171.96				0.60
46	45.00	frame_0046_00-45.png	71.27	42.05	8.04	1.00	0.22	ankleProxy	-171.96				0.60
47	46.00	frame_0047_00-46.png	40.00	0.00									
48	47.00	frame_0048_00-47.png	40.00	0.00									
49	48.00	frame_0049_00-48.png	40.00	0.00									
