index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	67.55	93.03	-11.80	0.11	0.07	ankleProxy	168.20				0.02
2	1.00	frame_0002_00-01.png	67.55	93.03	-11.80	0.11	0.07	ankleProxy	168.20				0.02
3	2.00	frame_0003_00-02.png	67.55	93.03	-11.80	0.11	0.07	ankleProxy	168.20	125.19	43.01	4.41	0.02
4	3.00	frame_0004_00-03.png	61.25	62.80	0.97	0.11	0.05	ankleProxy	-179.03	125.19	55.79	0.00	0.07
5	4.00	frame_0005_00-04.png	61.25	62.80	0.97	0.11	0.05	ankleProxy	-179.03				0.11
6	5.00	frame_0006_00-05.png	61.25	62.80	0.97	0.11	0.05	ankleProxy	-179.03	7.11	6.14	86.36	0.07
7	6.00	frame_0007_00-06.png	48.30	9.76	5.55	0.11	0.06	ankleProxy	-174.45	7.11	1.56	96.53	0.08
8	7.00	frame_0008_00-07.png	48.30	9.76	5.55	0.11	0.06	ankleProxy	-174.45				0.12
9	8.00	frame_0009_00-08.png	48.30	9.76	5.55	0.11	0.06	ankleProxy	-174.45				0.12
10	9.00	frame_0010_00-09.png											
11	10.00	frame_0011_00-10.png											
