index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	48.09	15.16	-85.00	0.23	0.07						
2	1.00	frame_0002_00-01.png	48.09	15.16	-85.00	0.23	0.07						
3	2.00	frame_0003_00-02.png	48.09	15.16	-85.00	0.23	0.07						
4	3.00	frame_0004_00-03.png	48.09	15.16	-85.00	0.23	0.07						
5	4.00	frame_0005_00-04.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
6	5.00	frame_0006_00-05.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
7	6.00	frame_0007_00-06.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
8	7.00	frame_0008_00-07.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
9	8.00	frame_0009_00-08.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
10	9.00	frame_0010_00-09.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63				0.65
11	10.00	frame_0011_00-10.png	56.67	38.75	0.37	1.00	0.26	ankleProxy	-179.63	-159.26	20.36	54.75	0.44
12	11.00	frame_0012_00-11.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65	-159.26	17.38	61.37	0.49
13	12.00	frame_0013_00-12.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65				0.72
14	13.00	frame_0014_00-13.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65				0.72
15	14.00	frame_0015_00-14.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65				0.72
16	15.00	frame_0016_00-15.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65				0.72
17	16.00	frame_0017_00-16.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65				0.72
18	17.00	frame_0018_00-17.png	66.58	77.16	3.35	1.00	0.23	ankleProxy	-176.65	22.14	18.79	58.25	0.52
19	18.00	frame_0019_00-18.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10	22.14	9.24	79.46	0.33
20	19.00	frame_0020_00-19.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
21	20.00	frame_0021_00-20.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
22	21.00	frame_0022_00-21.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
23	22.00	frame_0023_00-22.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
24	23.00	frame_0024_00-23.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
25	24.00	frame_0025_00-24.png	71.39	91.60	12.90	0.49	0.14	ankleProxy	-167.10				0.46
26	25.00	frame_0026_00-25.png											
27	26.00	frame_0027_00-26.png											
28	27.00	frame_0028_00-27.png											
29	28.00	frame_0029_00-28.png											
30	29.00	frame_0030_00-29.png											
31	30.00	frame_0031_00-30.png											
32	31.00	frame_0032_00-31.png											
33	32.00	frame_0033_00-32.png	46.09	0.00									
34	33.00	frame_0034_00-33.png	46.09	0.00									
35	34.00	frame_0035_00-34.png	46.09	0.00									
36	35.00	frame_0036_00-35.png	46.09	0.00									
37	36.00	frame_0037_00-36.png	46.09	0.00									
38	37.00	frame_0038_00-37.png	46.09	0.00									
39	38.00	frame_0039_00-38.png	46.09	0.00									
40	39.00	frame_0040_00-39.png											
41	40.00	frame_0041_00-40.png											
42	41.00	frame_0042_00-41.png											
43	42.00	frame_0043_00-42.png											
