index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	50.00	0.00									
2	1.00	frame_0002_00-01.png	50.00	0.00									
3	2.00	frame_0003_00-02.png	50.00	0.00									
4	3.00	frame_0004_00-03.png	86.75	78.76	-20.00	0.55	0.18						
5	4.00	frame_0005_00-04.png	86.75	78.76	-20.00	0.55	0.18						
6	5.00	frame_0006_00-05.png	86.75	78.76	-20.00	0.55	0.18						
7	6.00	frame_0007_00-06.png	69.96	40.85	-31.36	0.11	0.07	ankleProxy	148.64				0.05
8	7.00	frame_0008_00-07.png	69.96	40.85	-31.36	0.11	0.07	ankleProxy	148.64				0.05
9	8.00	frame_0009_00-08.png	69.96	40.85	-31.36	0.11	0.07	ankleProxy	148.64	-32.92	1.56	96.54	0.03
10	9.00	frame_0010_00-09.png	40.00	0.00									
11	10.00	frame_0011_00-10.png	40.00	0.00									
12	11.00	frame_0012_00-11.png	40.00	0.00									
13	12.00	frame_0013_00-12.png											
14	13.00	frame_0014_00-13.png											
15	14.00	frame_0015_00-14.png	96.08	84.32	-60.00	0.38	0.13						
16	15.00	frame_0016_00-15.png	96.08	84.32	-60.00	0.38	0.13						
17	16.00	frame_0017_00-16.png	96.08	84.32	-60.00	0.38	0.13						
18	17.00	frame_0018_00-17.png	73.46	41.98	0.64	0.56	0.14	ankleProxy	-179.36	-32.92	33.56	25.43	0.24
19	18.00	frame_0019_00-18.png	73.46	41.98	0.64	0.56	0.14	ankleProxy	-179.36				0.51
20	19.00	frame_0020_00-19.png	73.46	41.98	0.64	0.56	0.14	ankleProxy	-179.36				0.51
21	20.00	frame_0021_00-20.png	46.46	0.00									
22	21.00	frame_0022_00-21.png	46.46	0.00									
23	22.00	frame_0023_00-22.png	46.46	0.00									
24	23.00	frame_0024_00-23.png											
25	24.00	frame_0025_00-24.png											
26	25.00	frame_0026_00-25.png											
27	26.00	frame_0027_00-26.png											
28	27.00	frame_0028_00-27.png											
29	28.00	frame_0029_00-28.png											
30	29.00	frame_0030_00-29.png											
