index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	85.62	87.33	-14.37	0.11	0.07	ankleProxy	-14.37				0.08
2	1.00	frame_0002_00-01.png	85.62	87.33	-14.37	0.11	0.07	ankleProxy	-14.37	0.13	14.50	67.77	0.06
3	2.00	frame_0003_00-02.png	57.50	61.20	-60.00	0.83	0.18						
4	3.00	frame_0004_00-03.png	57.50	61.20	-60.00	0.83	0.18						
5	4.00	frame_0005_00-04.png	57.50	61.20	-60.00	0.83	0.18						
6	5.00	frame_0006_00-05.png	57.50	61.20	-60.00	0.83	0.18						
7	6.00	frame_0007_00-06.png	57.50	61.20	-60.00	0.83	0.18						
8	7.00	frame_0008_00-07.png	62.86	64.21	-5.38	0.68	0.16	ankleProxy	-5.38	0.13	5.52	87.74	0.54
9	8.00	frame_0009_00-08.png	62.86	64.21	-5.38	0.68	0.16	ankleProxy	-5.38				0.71
10	9.00	frame_0010_00-09.png	62.86	64.21	-5.38	0.68	0.16	ankleProxy	-5.38				0.71
11	10.00	frame_0011_00-10.png	62.86	64.21	-5.38	0.68	0.16	ankleProxy	-5.38	-58.87	53.49	0.00	0.53
12	11.00	frame_0012_00-11.png	52.34	32.75	-5.75	1.00	0.26	ankleProxy	-5.75	-58.87	53.12	0.00	0.57
13	12.00	frame_0013_00-12.png	52.34	32.75	-5.75	1.00	0.26	ankleProxy	-5.75				0.75
14	13.00	frame_0014_00-13.png	52.34	32.75	-5.75	1.00	0.26	ankleProxy	-5.75				0.75
15	14.00	frame_0015_00-14.png											
16	15.00	frame_0016_00-15.png											
17	16.00	frame_0017_00-16.png											
18	17.00	frame_0018_00-17.png											
