index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	58.60	15.51	2.53	1.00	0.26	ankleProxy	-177.47				0.69
2	1.00	frame_0002_00-01.png	58.60	15.51	2.53	1.00	0.26	ankleProxy	-177.47				0.69
3	2.00	frame_0003_00-02.png	58.60	15.51	2.53	1.00	0.26	ankleProxy	-177.47				0.69
4	3.00	frame_0004_00-03.png	58.60	15.51	2.53	1.00	0.26	ankleProxy	-177.47	130.49	52.04	0.00	0.42
5	4.00	frame_0005_00-04.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85	130.49	55.66	0.00	0.23
6	5.00	frame_0006_00-05.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85				0.38
7	6.00	frame_0007_00-06.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85				0.38
8	7.00	frame_0008_00-07.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85				0.38
9	8.00	frame_0009_00-08.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85				0.38
10	9.00	frame_0010_00-09.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85				0.38
11	10.00	frame_0011_00-10.png	55.99	22.73	6.15	0.33	0.13	ankleProxy	-173.85	-35.42	41.57	7.63	0.23
12	11.00	frame_0012_00-11.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44	-35.42	42.98	4.50	0.30
13	12.00	frame_0013_00-12.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44				0.49
14	13.00	frame_0014_00-13.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44				0.49
15	14.00	frame_0015_00-14.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44				0.49
16	15.00	frame_0016_00-15.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44				0.49
17	16.00	frame_0017_00-16.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44				0.49
18	17.00	frame_0018_00-17.png	53.18	26.21	7.56	0.90	0.21	ankleProxy	-172.44	106.47	81.09	0.00	0.35
19	18.00	frame_0019_00-18.png	67.36	1.16	-85.00	0.83	0.18						
20	19.00	frame_0020_00-19.png	67.36	1.16	-85.00	0.83	0.18						
21	20.00	frame_0021_00-20.png	67.36	1.16	-85.00	0.83	0.18						
22	21.00	frame_0022_00-21.png	67.36	1.16	-85.00	0.83	0.18						
23	22.00	frame_0023_00-22.png	67.36	1.16	-85.00	0.83	0.18						
24	23.00	frame_0024_00-23.png	67.36	1.16	-85.00	0.83	0.18						
25	24.00	frame_0025_00-24.png	67.36	1.16	-85.00	0.83	0.18						
26	25.00	frame_0026_00-25.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51	106.47	82.02	0.00	0.40
27	26.00	frame_0027_00-26.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51				0.56
28	27.00	frame_0028_00-27.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51				0.56
29	28.00	frame_0029_00-28.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51				0.56
30	29.00	frame_0030_00-29.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51				0.56
31	30.00	frame_0031_00-30.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51				0.56
32	31.00	frame_0032_00-31.png	54.82	44.31	8.49	1.00	0.23	ankleProxy	-171.51	117.70	70.79	0.00	0.35
33	32.00	frame_0033_00-32.png	62.48	19.99	-32.46	0.11	0.07	ankleProxy	147.54	117.70	29.84	33.68	0.14
34	33.00	frame_0034_00-33.png	62.48	19.99	-32.46	0.11	0.07	ankleProxy	147.54				0.23
35	34.00	frame_0035_00-34.png	62.48	19.99	-32.46	0.11	0.07	ankleProxy	147.54				0.23
36	35.00	frame_0036_00-35.png	62.48	19.99	-32.46	0.11	0.07	ankleProxy	147.54				0.23
