index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	58.97	22.96	10.74	1.00	0.23	ankleProxy	10.74				0.65
2	1.00	frame_0002_00-01.png	58.97	22.96	10.74	1.00	0.23	ankleProxy	10.74				0.65
3	2.00	frame_0003_00-02.png	58.97	22.96	10.74	1.00	0.23	ankleProxy	10.74	150.11	40.63	9.72	0.46
4	3.00	frame_0004_00-03.png	64.10	5.67	22.60	0.11	0.05	ankleProxy	22.60	150.11	52.49	0.00	0.13
5	4.00	frame_0005_00-04.png	64.10	5.67	22.60	0.11	0.05	ankleProxy	22.60				0.18
6	5.00	frame_0006_00-05.png	64.10	5.67	22.60	0.11	0.05	ankleProxy	22.60				0.18
7	6.00	frame_0007_00-06.png	64.10	5.67	22.60	0.11	0.05	ankleProxy	22.60				0.18
8	7.00	frame_0008_00-07.png	64.10	5.67	22.60	0.11	0.05	ankleProxy	22.60	-13.57	36.18	19.61	0.13
9	8.00	frame_0009_00-08.png	68.59	26.26	7.72	0.58	0.15	ankleProxy	7.72	-13.57	21.29	52.68	0.34
10	9.00	frame_0010_00-09.png	68.59	26.26	7.72	0.58	0.15	ankleProxy	7.72				0.48
11	10.00	frame_0011_00-10.png	68.59	26.26	7.72	0.58	0.15	ankleProxy	7.72				0.48
12	11.00	frame_0012_00-11.png	68.59	26.26	7.72	0.58	0.15	ankleProxy	7.72				0.48
13	12.00	frame_0013_00-12.png	68.59	26.26	7.72	0.58	0.15	ankleProxy	7.72	106.22	81.50	0.00	0.31
14	13.00	frame_0014_00-13.png	76.04	55.62	-6.06	1.00	0.22	ankleProxy	173.94	106.22	67.72	0.00	0.38
15	14.00	frame_0015_00-14.png	76.04	55.62	-6.06	1.00	0.22	ankleProxy	173.94				0.59
16	15.00	frame_0016_00-15.png	76.04	55.62	-6.06	1.00	0.22	ankleProxy	173.94				0.59
17	16.00	frame_0017_00-16.png	76.04	55.62	-6.06	1.00	0.22	ankleProxy	173.94				0.59
18	17.00	frame_0018_00-17.png	76.04	55.62	-6.06	1.00	0.22	ankleProxy	173.94	-81.83	75.77	0.00	0.34
19	18.00	frame_0019_00-18.png	65.57	5.53	17.43	0.88	0.25	ankleProxy	17.43	-81.83	80.74	0.00	0.28
20	19.00	frame_0020_00-19.png	65.57	5.53	17.43	0.88	0.25	ankleProxy	17.43				0.49
21	20.00	frame_0021_00-20.png	65.57	5.53	17.43	0.88	0.25	ankleProxy	17.43				0.49
22	21.00	frame_0022_00-21.png	65.57	5.53	17.43	0.88	0.25	ankleProxy	17.43				0.49
23	22.00	frame_0023_00-22.png	65.57	5.53	17.43	0.88	0.25	ankleProxy	17.43	171.57	25.86	42.53	0.27
24	23.00	frame_0024_00-23.png	76.32	36.60	3.28	0.91	0.26	ankleProxy	3.28	171.57	11.71	73.97	0.28
25	24.00	frame_0025_00-24.png	76.32	36.60	3.28	0.91	0.26	ankleProxy	3.28				0.50
26	25.00	frame_0026_00-25.png	76.32	36.60	3.28	0.91	0.26	ankleProxy	3.28				0.50
27	26.00	frame_0027_00-26.png	76.32	36.60	3.28	0.91	0.26	ankleProxy	3.28				0.50
28	27.00	frame_0028_00-27.png	76.32	36.60	3.28	0.91	0.26	ankleProxy	3.28	2.18	1.10	97.55	0.15
29	28.00	frame_0029_00-28.png	72.76	17.19	-2.41	0.37	0.14	ankleProxy	-2.41	2.18	4.59	89.80	0.12
30	29.00	frame_0030_00-29.png	72.76	17.19	-2.41	0.37	0.14	ankleProxy	-2.41				0.37
