index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png											
2	1.00	frame_0002_00-01.png											
3	2.00	frame_0003_00-02.png											
4	3.00	frame_0004_00-03.png	57.28	21.99	3.22	0.11	0.04	ankleProxy	-176.78				0.02
5	4.00	frame_0005_00-04.png	57.28	21.99	3.22	0.11	0.04	ankleProxy	-176.78				0.02
6	5.00	frame_0006_00-05.png	57.28	21.99	3.22	0.11	0.04	ankleProxy	-176.78				0.02
7	6.00	frame_0007_00-06.png	57.28	21.99	3.22	0.11	0.04	ankleProxy	-176.78	-26.45	29.66	34.08	0.01
8	7.00	frame_0008_00-07.png	76.09	19.79	-26.52	0.11	0.06	ankleProxy	-26.52	-26.45	0.07	99.85	0.06
9	8.00	frame_0009_00-08.png	76.09	19.79	-26.52	0.11	0.06	ankleProxy	-26.52				0.11
10	9.00	frame_0010_00-09.png	76.09	19.79	-26.52	0.11	0.06	ankleProxy	-26.52				0.11
11	10.00	frame_0011_00-10.png	76.09	19.79	-26.52	0.11	0.06	ankleProxy	-26.52	99.96	53.52	0.00	0.05
12	11.00	frame_0012_00-11.png	48.10	6.35	8.11	0.74	0.19	ankleProxy	8.11	99.96	88.15	0.00	0.20
13	12.00	frame_0013_00-12.png	48.10	6.35	8.11	0.74	0.19	ankleProxy	8.11				0.44
14	13.00	frame_0014_00-13.png	48.10	6.35	8.11	0.74	0.19	ankleProxy	8.11				0.44
15	14.00	frame_0015_00-14.png	48.10	6.35	8.11	0.74	0.19	ankleProxy	8.11	4.74	3.37	92.51	0.28
16	15.00	frame_0016_00-15.png	66.32	50.45	13.39	0.14	0.10	ankleProxy	-166.61	4.74	8.65	80.79	0.08
17	16.00	frame_0017_00-16.png	66.32	50.45	13.39	0.14	0.10	ankleProxy	-166.61				0.13
18	17.00	frame_0018_00-17.png	66.32	50.45	13.39	0.14	0.10	ankleProxy	-166.61				0.13
19	18.00	frame_0019_00-18.png	66.32	50.45	13.39	0.14	0.10	ankleProxy	-166.61	-140.76	25.85	42.56	0.08
20	19.00	frame_0020_00-19.png	53.04	19.72	0.45	0.11	0.09	ankleProxy	0.45	-140.76	38.79	13.81	0.11
21	20.00	frame_0021_00-20.png	53.04	19.72	0.45	0.11	0.09	ankleProxy	0.45				0.17
22	21.00	frame_0022_00-21.png	53.04	19.72	0.45	0.11	0.09	ankleProxy	0.45				0.17
23	22.00	frame_0023_00-22.png	53.04	19.72	0.45	0.11	0.09	ankleProxy	0.45	49.50	49.05	0.00	0.13
24	23.00	frame_0024_00-23.png	49.51	5.88	-49.26	0.11	0.06	ankleProxy	130.74	49.50	81.24	0.00	0.05
25	24.00	frame_0025_00-24.png	49.51	5.88	-49.26	0.11	0.06	ankleProxy	130.74				0.06
26	25.00	frame_0026_00-25.png	49.51	5.88	-49.26	0.11	0.06	ankleProxy	130.74				0.06
27	26.00	frame_0027_00-26.png	49.51	5.88	-49.26	0.11	0.06	ankleProxy	130.74				0.06
28	27.00	frame_0028_00-27.png	49.51	5.88	-49.26	0.11	0.06	ankleProxy	130.74	-131.94	82.69	0.00	0.01
29	28.00	frame_0029_00-28.png	47.09	1.07	21.04	0.11	0.08	ankleProxy	21.04	-131.94	27.02	39.96	0.03
30	29.00	frame_0030_00-29.png	47.09	1.07	21.04	0.11	0.08	ankleProxy	21.04				0.12
31	30.00	frame_0031_00-30.png	47.09	1.07	21.04	0.11	0.08	ankleProxy	21.04				0.12
32	31.00	frame_0032_00-31.png	47.09	1.07	21.04	0.11	0.08	ankleProxy	21.04	-39.69	60.73	0.00	0.08
33	32.00	frame_0033_00-32.png	53.11	10.60	-70.37	0.11	0.06	ankleProxy	109.63	-39.69	30.68	31.83	0.06
34	33.00	frame_0034_00-33.png	53.11	10.60	-70.37	0.11	0.06	ankleProxy	109.63				0.09
35	34.00	frame_0035_00-34.png	53.11	10.60	-70.37	0.11	0.06	ankleProxy	109.63				0.09
36	35.00	frame_0036_00-35.png	53.11	10.60	-70.37	0.11	0.06	ankleProxy	109.63	89.93	19.70	56.22	0.06
37	36.00	frame_0037_00-36.png	49.85	11.42	-82.72	0.11	0.06	ankleProxy	97.28	89.93	7.35	83.66	0.03
38	37.00	frame_0038_00-37.png	49.85	11.42	-82.72	0.11	0.06	ankleProxy	97.28				0.05
39	38.00	frame_0039_00-38.png	49.85	11.42	-82.72	0.11	0.06	ankleProxy	97.28				0.05
40	39.00	frame_0040_00-39.png	49.85	11.42	-82.72	0.11	0.06	ankleProxy	97.28	118.13	20.85	53.66	0.03
41	40.00	frame_0041_00-40.png	49.24	15.84	-78.81	0.11	0.07	ankleProxy	101.19	118.13	16.94	62.35	0.12
42	41.00	frame_0042_00-41.png	49.24	15.84	-78.81	0.11	0.07	ankleProxy	101.19				0.22
43	42.00	frame_0043_00-42.png	49.24	15.84	-78.81	0.11	0.07	ankleProxy	101.19				0.22
