alias	tap	group	tSec	ankCnf	subjFrac	ankX	ankY	npix	angleDeg	elong	axisLen	verdict
BND2_LB	0	beginner	7.21	0.00	0.0332	0.500	0.500	16866	43.6	1.33	0.150	ankleLowCnf
BND2_LB	1	beginner	14.41	0.56	0.0478	0.793	0.195	9850	61.1	1.33	0.130	rejectVertical
BND2_LB	2	beginner	21.62	0.00	0.0046	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_LB	3	beginner	28.83	0.78	0.0527	0.579	0.210	1832	1.4	8.42	0.162	board
BND2_L6	0	beginner	13.36	0.57	0.0293	0.497	0.412	4581	63.4	1.79	0.073	rejectVertical
BND2_L6	1	beginner	26.72	0.00	0.0258	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_L6	2	beginner	40.08	0.50	0.0070	0.444	0.490	0	-1.0	0.00	0.000	farShot
BND2_L6	3	beginner	53.43	0.73	0.0133	0.281	0.370	154	4.1	5.00	0.044	farShot
BND2_L5	0	beginner	1.22	0.81	0.0487	0.544	0.387	1330	2.1	9.27	0.149	board
BND2_L5	1	beginner	2.45	0.61	0.0526	0.124	0.347	4582	25.3	1.71	0.071	rejectLength
BND2_L5	2	beginner	3.67	0.62	0.0857	0.828	0.651	0	-1.0	0.00	0.000	noAxis
BND2_L5	3	beginner	4.89	0.83	0.1400	0.477	0.664	17890	52.7	1.82	0.163	rejectVertical
BND2_L4	0	beginner	2.13	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L4	1	beginner	4.27	0.78	0.0000	0.795	0.517	0	-1.0	0.00	0.000	noMask
BND2_L4	2	beginner	6.40	0.80	0.0000	0.554	0.547	0	-1.0	0.00	0.000	noMask
BND2_L4	3	beginner	8.53	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L3	0	beginner	2.47	0.73	0.0696	0.646	0.447	4043	7.4	4.09	0.151	board
BND2_L3	1	beginner	4.94	0.50	0.2000	0.550	0.460	6217	83.9	4.25	0.134	rejectVertical
BND2_L3	2	beginner	7.41	0.57	0.0272	0.672	0.395	0	-1.0	0.00	0.000	noAxis
BND2_L3	3	beginner	9.88	0.00	0.0196	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_L2	0	beginner	5.20	0.74	0.0267	0.504	0.514	1253	3.2	2.54	0.046	rejectLength
BND2_L2	1	beginner	10.39	0.43	0.0229	0.162	0.599	4322	83.8	4.97	0.146	rejectVertical
BND2_L2	2	beginner	15.59	0.40	0.0622	0.262	0.594	23093	70.4	1.49	0.154	rejectVertical
BND2_L2	3	beginner	20.79	0.82	0.0237	0.523	0.616	1383	8.2	3.27	0.088	rejectLength
BND2_L1	0	beginner	3.02	0.81	0.0482	0.616	0.513	2080	0.9	6.64	0.131	board
BND2_L1	1	beginner	6.04	0.28	0.1013	0.763	0.252	7316	4.9	4.36	0.221	ankleLowCnf
BND2_L1	2	beginner	9.05	0.67	0.1005	0.748	0.242	6736	6.6	3.98	0.199	board
BND2_L1	3	beginner	12.07	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND_L1	0	emerging	4.10	0.60	0.0080	0.607	0.331	0	-1.0	0.00	0.000	farShot
BND_L1	1	emerging	8.19	0.00	0.0067	0.500	0.500	6159	71.6	1.76	0.097	ankleLowCnf
BND_L1	2	emerging	12.29	0.37	0.0059	0.268	0.416	0	-1.0	0.00	0.000	farShot
BND_L1	3	emerging	16.38	0.00	0.0043	0.500	0.500	2340	49.5	3.39	0.080	ankleLowCnf
BND_L2	0	emerging	3.15	0.66	0.0200	0.462	0.209	1226	3.5	3.04	0.052	farShot
BND_L2	1	emerging	6.31	0.40	0.0265	0.689	0.192	2301	11.2	1.52	0.048	rejectLength
BND_L2	2	emerging	9.46	0.57	0.0103	0.555	0.238	623	0.5	1.38	0.028	farShot
BND_L2	3	emerging	12.61	0.73	0.0221	0.373	0.293	1603	2.6	5.35	0.081	rejectLength
BND_L3	0	emerging	4.97	0.73	0.0898	0.624	0.258	4523	6.0	5.68	0.188	board
BND_L3	1	emerging	9.93	0.50	0.0379	0.702	0.334	1031	0.3	7.72	0.077	rejectLength
BND_L3	2	emerging	14.90	0.00	0.0750	0.500	0.500	37060	38.0	1.05	0.159	ankleLowCnf
BND_L3	3	emerging	19.87	0.77	0.1331	0.658	0.457	12779	87.3	2.80	0.152	rejectVertical
BND2_LM	0	emerging	3.69	0.57	0.1189	0.497	0.221	15463	19.5	2.97	0.183	board
BND2_LM	1	emerging	7.37	0.79	0.0505	0.404	0.330	7700	20.7	3.24	0.132	board
BND2_LM	2	emerging	11.06	0.42	0.0904	0.478	0.370	14025	2.6	6.50	0.259	board
BND2_LM	3	emerging	14.75	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
