alias	tap	group	tSec	ankCnf	subjFrac	ankX	ankY	npix	angleDeg	elong	axisLen	verdict
BND2_LB	0	beginner	2.88	0.00	0.0296	0.500	0.500	17183	7.9	2.90	0.187	ankleLowCnf
BND2_LB	1	beginner	6.25	0.33	0.0331	0.753	0.485	6388	9.6	3.48	0.165	board
BND2_LB	2	beginner	9.61	0.00	0.0347	0.500	0.500	13291	14.9	2.17	0.154	ankleLowCnf
BND2_LB	3	beginner	12.97	0.56	0.0790	0.846	0.213	6659	0.3	9.08	0.235	board
BND2_LB	4	beginner	16.34	0.82	0.0080	0.707	0.414	125	2.5	11.76	0.056	farShot
BND2_LB	5	beginner	19.70	0.00	0.0051	0.500	0.500	209	87.2	3.63	0.022	ankleLowCnf
BND2_LB	6	beginner	23.06	0.00	0.0041	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_LB	7	beginner	26.43	0.69	0.0070	0.739	0.484	407	2.3	6.75	0.044	farShot
BND2_LB	8	beginner	29.79	0.82	0.0624	0.434	0.263	1760	1.9	7.64	0.160	board
BND2_LB	9	beginner	33.15	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L6	0	beginner	5.34	0.61	0.0385	0.547	0.389	4744	16.0	4.45	0.137	board
BND2_L6	1	beginner	11.58	0.74	0.0204	0.492	0.423	2828	5.2	7.56	0.122	board
BND2_L6	2	beginner	17.81	0.76	0.0091	0.389	0.458	979	30.3	2.16	0.038	farShot
BND2_L6	3	beginner	24.05	0.52	0.0366	0.419	0.438	2662	5.7	1.50	0.051	rejectLength
BND2_L6	4	beginner	30.28	0.58	0.1475	0.703	0.198	9766	4.0	4.92	0.237	board
BND2_L6	5	beginner	36.51	0.78	0.0144	0.663	0.403	104	1.5	14.30	0.052	farShot
BND2_L6	6	beginner	42.75	0.84	0.0301	0.495	0.266	688	4.9	5.56	0.081	rejectLength
BND2_L6	7	beginner	48.98	0.76	0.0099	0.328	0.479	166	4.1	4.40	0.036	farShot
BND2_L6	8	beginner	55.21	0.70	0.0097	0.472	0.398	440	10.4	3.20	0.043	farShot
BND2_L6	9	beginner	61.45	0.70	0.0138	0.723	0.601	457	0.6	3.06	0.032	farShot
BND2_L5	0	beginner	0.49	0.81	0.0480	0.671	0.375	1995	0.1	8.92	0.172	board
BND2_L5	1	beginner	1.06	0.82	0.0512	0.606	0.388	1519	3.9	8.04	0.155	board
BND2_L5	2	beginner	1.63	0.81	0.0498	0.360	0.380	2128	7.0	4.27	0.093	rejectLength
BND2_L5	3	beginner	2.20	0.80	0.0497	0.228	0.362	4342	8.6	1.89	0.074	rejectLength
BND2_L5	4	beginner	2.77	0.58	0.0596	0.042	0.345	3978	26.7	1.73	0.076	rejectLength
BND2_L5	5	beginner	3.34	0.58	0.0929	0.107	0.306	1840	4.3	9.19	0.189	board
BND2_L5	6	beginner	3.91	0.71	0.0998	0.756	0.652	0	-1.0	0.00	0.000	noAxis
BND2_L5	7	beginner	4.49	0.84	0.1173	0.552	0.666	7191	27.6	2.78	0.129	board
BND2_L5	8	beginner	5.06	0.53	0.1508	0.032	0.157	725	87.6	1.65	0.028	rejectVertical
BND2_L5	9	beginner	5.63	0.00	0.1637	0.500	0.500	13246	53.7	1.81	0.184	ankleLowCnf
BND2_L4	0	beginner	0.85	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L4	1	beginner	1.85	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L4	2	beginner	2.84	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L4	3	beginner	3.84	0.00	0.0063	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_L4	4	beginner	4.84	0.67	0.0112	0.519	0.541	343	10.6	1.69	0.020	farShot
BND2_L4	5	beginner	5.83	0.82	0.0085	0.605	0.547	245	4.3	1.34	0.014	farShot
BND2_L4	6	beginner	6.83	0.82	0.0000	0.450	0.548	0	-1.0	0.00	0.000	noMask
BND2_L4	7	beginner	7.82	0.00	0.3066	0.500	0.500	21603	0.2	5.42	0.273	ankleLowCnf
BND2_L4	8	beginner	8.82	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L4	9	beginner	9.81	0.00	0.3147	0.500	0.500	21544	0.2	5.43	0.273	ankleLowCnf
BND2_L3	0	beginner	0.99	0.58	0.0367	0.525	0.428	2715	0.4	2.08	0.061	rejectLength
BND2_L3	1	beginner	2.14	0.66	0.0635	0.664	0.451	3477	7.0	4.07	0.130	board
BND2_L3	2	beginner	3.29	0.65	0.1155	0.503	0.403	4747	1.8	7.73	0.250	board
BND2_L3	3	beginner	4.45	0.44	0.0884	0.547	0.373	3724	10.4	2.98	0.141	board
BND2_L3	4	beginner	5.60	0.57	0.0477	0.667	0.338	1875	4.4	5.96	0.128	board
BND2_L3	5	beginner	6.75	0.64	0.0325	0.681	0.378	285	1.6	12.32	0.069	rejectLength
BND2_L3	6	beginner	7.90	0.20	0.0248	0.705	0.403	18	-1.0	0.00	0.000	ankleLowCnf
BND2_L3	7	beginner	9.06	0.00	0.0220	0.500	0.500	11397	48.8	1.13	0.106	ankleLowCnf
BND2_L3	8	beginner	10.21	0.00	0.0196	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_L3	9	beginner	11.36	0.00	0.0196	0.500	0.500	0	-1.0	0.00	0.000	ankleLowCnf
BND2_L2	0	beginner	2.08	0.54	0.1930	0.961	0.656	0	-1.0	0.00	0.000	noAxis
BND2_L2	1	beginner	4.50	0.63	0.0184	0.421	0.532	796	3.0	2.57	0.036	farShot
BND2_L2	2	beginner	6.93	0.61	0.0199	0.436	0.538	1277	1.5	2.91	0.049	farShot
BND2_L2	3	beginner	9.35	0.55	0.0287	0.424	0.457	1534	5.6	2.25	0.047	rejectLength
BND2_L2	4	beginner	11.78	0.63	0.1171	0.710	0.586	12201	9.7	2.76	0.333	board
BND2_L2	5	beginner	14.20	0.70	0.0135	0.431	0.497	832	0.8	2.29	0.035	farShot
BND2_L2	6	beginner	16.63	0.71	0.0597	0.282	0.533	13909	76.7	2.05	0.139	rejectVertical
BND2_L2	7	beginner	19.05	0.75	0.0438	0.316	0.458	1524	3.8	2.58	0.050	rejectLength
BND2_L2	8	beginner	21.48	0.71	0.0144	0.361	0.627	854	2.9	7.64	0.123	farShot
BND2_L2	9	beginner	23.90	0.00	0.0000	0.500	0.500	0	-1.0	0.00	0.000	noMask
BND2_L1	0	beginner	1.21	0.80	0.0260	0.609	0.554	634	1.1	9.90	0.078	rejectLength
BND2_L1	1	beginner	2.62	0.83	0.0416	0.561	0.516	2138	0.8	6.08	0.113	board
BND2_L1	2	beginner	4.02	0.74	0.0830	0.427	0.484	4423	3.9	6.20	0.183	board
BND2_L1	3	beginner	5.43	0.58	0.0983	0.653	0.242	6855	1.5	6.29	0.255	board
BND2_L1	4	beginner	6.84	0.56	0.1123	0.678	0.228	8249	0.1	6.35	0.273	board
BND2_L1	5	beginner	8.25	0.44	0.1056	0.735	0.258	11512	5.1	4.23	0.260	board
BND2_L1	6	beginner	9.66	0.61	0.0971	0.762	0.250	7638	2.4	5.62	0.261	board
