alias	fi	t	cdx	cdy	mag	regOK	frameW	frameH
BND2_LB	5	1.400	-0.47407	-0.18125	0.50754	0	270	480
BND2_LB	7	1.598	-0.53333	0.10833	0.54422	0	270	480
BND2_LB	8	1.800	0.15926	0.15833	0.22457	1	270	480
BND2_LB	9	1.998	-0.11852	0.01250	0.11918	1	270	480
BND2_LB	10	5.200	-0.55926	0.02500	0.55982	0	270	480
BND2_LB	26	5.400	-0.01481	0.00000	0.01481	1	270	480
BND2_LB	27	6.600	0.48889	-0.04167	0.49066	0	270	480
BND2_LB	33	6.800	-0.04074	-0.00625	0.04122	1	270	480
BND2_LB	34	7.000	-0.06667	-0.00625	0.06696	1	270	480
BND2_LB	35	7.400	-0.00000	0.09167	0.09167	1	270	480
BND2_LB	37	7.600	-0.00000	0.00000	0.00000	1	270	480
BND2_LB	38	7.800	-0.00000	0.00000	0.00000	1	270	480
BND2_LB	39	8.200	-0.00000	0.00417	0.00417	1	270	480
BND2_LB	41	8.400	0.04074	0.00417	0.04095	1	270	480
BND2_LB	42	9.200	-0.00000	0.01458	0.01458	1	270	480
BND2_LB	46	11.798	0.36667	-0.10625	0.38175	0	270	480
BND2_LB	59	11.998	0.08519	0.01875	0.08722	1	270	480
BND2_LB	60	12.198	0.05926	0.02500	0.06432	1	270	480
BND2_LB	61	12.398	0.01852	0.02917	0.03455	1	270	480
BND2_LB	62	12.598	-0.01481	0.02917	0.03271	1	270	480
BND2_LB	63	12.798	-0.06667	0.02708	0.07196	1	270	480
BND2_LB	64	12.998	-0.07778	0.02292	0.08108	1	270	480
BND2_LB	65	13.198	-0.07778	0.01667	0.07954	1	270	480
BND2_LB	66	13.398	-0.07407	0.01667	0.07593	1	270	480
BND2_LB	67	13.598	-0.07778	0.01875	0.08001	1	270	480
BND2_LB	68	13.798	-0.05556	0.02292	0.06010	1	270	480
BND2_LB	69	13.998	-0.03704	0.01875	0.04151	1	270	480
BND2_LB	70	14.198	0.00741	0.01458	0.01636	1	270	480
BND2_LB	71	14.398	0.01111	0.00208	0.01130	1	270	480
BND2_LB	72	14.998	0.10370	-0.71875	0.72619	0	270	480
BND2_LB	75	15.198	0.00741	-0.02708	0.02808	1	270	480
BND2_LB	76	15.398	0.00741	-0.00208	0.00769	1	270	480
BND2_LB	77	15.598	-0.00000	-0.00833	0.00833	1	270	480
BND2_LB	78	15.798	0.01481	-0.00208	0.01496	1	270	480
BND2_LB	79	15.998	0.01111	0.00000	0.01111	1	270	480
BND2_LB	80	16.198	-0.00000	0.00625	0.00625	1	270	480
BND2_LB	81	16.398	-0.00000	0.01250	0.01250	1	270	480
BND2_LB	82	16.598	-0.45556	0.01875	0.45594	0	270	480
BND2_LB	83	25.198	-0.00000	0.02083	0.02083	1	270	480
BND2_LB	126	25.398	-0.06296	-0.00833	0.06351	1	270	480
BND2_LB	127	25.598	-0.07037	0.00000	0.07037	1	270	480
BND2_LB	128	25.798	0.01852	0.00000	0.01852	1	270	480
BND2_LB	129	25.998	0.01852	-0.01667	0.02491	1	270	480
BND2_LB	130	26.198	-0.01852	-0.03542	0.03997	1	270	480
BND2_LB	131	26.398	-0.05556	-0.03542	0.06588	1	270	480
BND2_LB	132	26.598	-0.08519	-0.02500	0.08878	1	270	480
BND2_LB	133	26.798	0.13704	0.17917	0.22557	1	270	480
BND2_LB	134	26.998	-0.01481	0.00000	0.01481	1	270	480
BND2_LB	135	27.198	-0.00000	0.00000	0.00000	1	270	480
BND2_LB	136	27.398	0.00741	-0.00208	0.00769	1	270	480
BND2_LB	137	27.598	0.01481	-0.00417	0.01539	1	270	480
BND2_LB	138	27.798	0.01852	-0.01042	0.02125	1	270	480
BND2_LB	139	27.998	0.02222	-0.01250	0.02550	1	270	480
BND2_LB	140	28.198	0.02593	-0.01042	0.02794	1	270	480
BND2_LB	141	28.398	0.01852	-0.01042	0.02125	1	270	480
BND2_LB	142	28.598	0.01481	-0.00833	0.01700	1	270	480
BND2_LB	143	28.798	0.02593	-0.00833	0.02723	1	270	480
BND2_LB	144	28.998	0.02593	-0.00625	0.02667	1	270	480
BND2_LB	145	29.198	0.04815	-0.00417	0.04833	1	270	480
BND2_LB	146	29.398	0.02963	-0.00417	0.02992	1	270	480
BND2_LB	147	29.598	0.02963	-0.00417	0.02992	1	270	480
BND2_LB	148	29.798	0.01481	-0.00625	0.01608	1	270	480
BND2_LB	149	29.998	0.01111	-0.00833	0.01389	1	270	480
BND2_LB	150	30.198	-0.01481	-0.00625	0.01608	1	270	480
BND2_LB	151	30.398	-0.01852	-0.00417	0.01898	1	270	480
BND2_LB	152	30.598	-0.00370	0.00000	0.00370	1	270	480
BND2_LB	153	30.798	0.00370	0.00000	0.00370	1	270	480
BND2_LB	154	30.998	0.02222	0.00000	0.02222	1	270	480
BND2_LB	155	31.198	0.04444	0.00000	0.04444	1	270	480
BND2_LB	156	31.398	-0.00000	0.00000	0.00000	1	270	480
BND2_LB	157	31.598	0.00370	0.00208	0.00425	1	270	480
BND2_LB	158	31.798	-0.45185	0.00625	0.45190	0	270	480
BND2_LB	159	31.998	-0.40000	0.00417	0.40002	0	270	480
BND2_LB	160	32.198	-0.12593	0.00208	0.12594	1	270	480
BND2_LB	161	32.398	-0.36667	0.01250	0.36688	0	270	480
BND2_LB	162	32.598	0.67778	0.11458	0.68740	0	270	480
BND2_L6	0	0.200	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	1	0.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	2	0.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	3	0.800	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	4	1.000	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	5	1.200	0.02222	0.00000	0.02222	1	270	480
BND2_L6	6	1.400	0.04074	0.00000	0.04074	1	270	480
BND2_L6	7	1.598	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	8	1.800	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	9	1.998	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	10	2.198	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	11	2.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	12	2.600	-0.03333	0.00000	0.03333	1	270	480
BND2_L6	13	2.800	-0.02593	0.00000	0.02593	1	270	480
BND2_L6	14	3.000	-0.02222	0.00000	0.02222	1	270	480
BND2_L6	15	3.200	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	16	3.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	17	3.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	18	3.800	0.02222	0.00000	0.02222	1	270	480
BND2_L6	19	4.000	0.02593	0.00000	0.02593	1	270	480
BND2_L6	20	4.200	0.04074	0.00000	0.04074	1	270	480
BND2_L6	21	4.400	0.04074	-0.00208	0.04079	1	270	480
BND2_L6	22	4.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	23	5.000	-0.08519	-0.00208	0.08521	1	270	480
BND2_L6	25	5.200	0.46667	0.59375	0.75519	0	270	480
BND2_L6	26	5.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	27	5.600	-0.01481	0.00000	0.01481	1	270	480
BND2_L6	28	5.800	-0.01481	0.00000	0.01481	1	270	480
BND2_L6	29	6.000	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	30	6.200	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	31	6.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	32	6.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	33	6.800	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	34	7.000	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	35	7.200	0.02963	0.00000	0.02963	1	270	480
BND2_L6	36	7.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	37	7.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	38	7.800	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	39	8.000	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	40	8.200	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	41	8.400	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	42	8.600	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	43	8.800	-0.01481	0.00000	0.01481	1	270	480
BND2_L6	44	9.000	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	45	9.200	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	46	9.398	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	47	9.598	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	48	9.798	-0.00000	0.00000	0.00000	1	270	480
BND2_L6	49	9.998	0.02222	0.00000	0.02222	1	270	480
BND2_L6	50	10.198	-0.00000	0.00000	0.00000	1	270	480
