alias	fi	t	cdx	cdy	mag	regOK	frameW	frameH	boxW	boxH	mean
BND2_LB	5	1.400	-0.47407	-0.18125	0.50754	0	270	480	0.167	0.412	0.753
BND2_LB	7	1.598	-0.00000	0.10833	0.10833	1	270	480	0.204	0.300	0.792
BND2_LB	8	1.800	0.04074	0.15833	0.16349	1	270	480	0.263	0.179	0.678
BND2_LB	9	1.998	-0.12963	0.01250	0.13023	1	270	480	0.285	0.158	0.600
BND2_LB	10	5.200	-0.49630	0.02500	0.49693	0	270	480	0.241	0.117	0.604
BND2_LB	33	6.800	-0.04074	-0.00625	0.04122	1	270	480	0.326	0.077	0.537
BND2_LB	34	7.000	-0.06296	-0.00625	0.06327	1	270	480	0.267	0.075	0.533
BND2_LB	35	7.400	-0.00000	0.09375	0.09375	1	270	480	0.237	0.079	0.537
BND2_LB	37	7.600	-0.00000	0.00208	0.00208	1	270	480	0.115	0.190	0.514
BND2_LB	38	7.800	-0.00000	0.00000	0.00000	1	270	480	0.078	0.206	0.514
BND2_LB	39	8.200	-0.00000	0.00417	0.00417	1	270	480	0.078	0.204	0.510
BND2_LB	41	8.400	-0.00000	0.00417	0.00417	1	270	480	0.156	0.183	0.510
BND2_LB	42	9.200	-0.00000	0.01667	0.01667	1	270	480	0.133	0.173	0.510
BND2_LB	46	11.798	-0.00000	-0.10625	0.10625	1	270	480	0.200	0.117	0.494
BND2_LB	59	11.998	0.45556	0.01875	0.45594	0	270	480	0.530	0.163	0.502
BND2_LB	60	12.198	0.05185	0.02500	0.05756	1	270	480	0.193	0.090	0.478
BND2_LB	61	12.398	0.01852	0.02917	0.03455	1	270	480	0.485	0.154	0.478
BND2_LB	62	12.598	-0.01481	0.02917	0.03271	1	270	480	0.556	0.148	0.471
BND2_LB	63	12.798	-0.05185	0.02708	0.05850	1	270	480	0.452	0.148	0.467
BND2_LB	64	12.998	-0.07778	0.02292	0.08108	1	270	480	0.541	0.156	0.455
BND2_LB	65	13.198	-0.07778	0.01875	0.08001	1	270	480	0.478	0.163	0.447
BND2_LB	66	13.398	-0.06296	0.01667	0.06513	1	270	480	0.456	0.135	0.439
BND2_LB	67	13.598	-0.04815	0.01875	0.05167	1	270	480	0.352	0.131	0.435
BND2_LB	68	13.798	-0.05556	0.02292	0.06010	1	270	480	0.104	0.223	0.431
BND2_LB	69	13.998	-0.03704	0.01875	0.04151	1	270	480	0.096	0.225	0.427
BND2_LB	70	14.198	0.00370	0.01458	0.01505	1	270	480	0.059	0.219	0.424
BND2_LB	71	14.398	0.01111	0.00208	0.01130	1	270	480	0.074	0.210	0.416
BND2_LB	72	14.998	0.10370	-0.71875	0.72619	0	270	480	0.052	0.215	0.412
BND2_LB	75	15.198	0.00741	-0.02708	0.02808	1	270	480	0.130	0.115	0.800
BND2_LB	76	15.398	0.00370	-0.00208	0.00425	1	270	480	0.085	0.129	0.753
BND2_LB	77	15.598	-0.00000	-0.00833	0.00833	1	270	480	0.096	0.115	0.710
BND2_LB	78	15.798	0.01481	-0.00208	0.01496	1	270	480	0.100	0.123	0.690
BND2_LB	79	15.998	0.01481	0.00000	0.01481	1	270	480	0.093	0.117	0.682
BND2_LB	80	16.198	0.02222	0.00625	0.02308	1	270	480	0.093	0.119	0.702
BND2_LB	81	16.398	-0.47778	0.01250	0.47794	0	270	480	0.093	0.121	0.694
BND2_LB	82	16.598	-0.45556	0.01875	0.45594	0	270	480	0.093	0.117	0.694
BND2_LB	83	25.198	-0.00000	0.02083	0.02083	1	270	480	0.096	0.110	0.706
BND2_LB	126	25.398	-0.02593	-0.00833	0.02723	1	270	480	0.044	0.123	0.663
BND2_LB	127	25.598	-0.07037	0.00000	0.07037	1	270	480	0.033	0.129	0.659
BND2_LB	128	25.798	0.01852	0.00000	0.01852	1	270	480	0.041	0.129	0.655
BND2_LB	129	25.998	0.01852	-0.01667	0.02491	1	270	480	0.041	0.127	0.663
BND2_LB	130	26.198	-0.01481	-0.03542	0.03839	1	270	480	0.048	0.125	0.675
BND2_LB	131	26.398	-0.05185	-0.03542	0.06279	1	270	480	0.059	0.131	0.671
BND2_LB	132	26.598	-0.08519	-0.02500	0.08878	1	270	480	0.070	0.119	0.655
BND2_LB	133	26.798	0.13704	0.17917	0.22557	1	270	480	0.059	0.127	0.639
BND2_LB	134	26.998	-0.01481	0.00000	0.01481	1	270	480	0.111	0.265	0.553
BND2_LB	135	27.198	-0.00000	0.00000	0.00000	1	270	480	0.133	0.277	0.557
BND2_LB	136	27.398	-0.00000	-0.00208	0.00208	1	270	480	0.144	0.283	0.553
BND2_LB	137	27.598	0.00741	-0.00417	0.00850	1	270	480	0.156	0.294	0.541
BND2_LB	138	27.798	0.00741	-0.01042	0.01278	1	270	480	0.170	0.298	0.533
BND2_LB	139	27.998	0.01852	-0.01250	0.02234	1	270	480	0.181	0.306	0.525
BND2_LB	140	28.198	0.01111	-0.01042	0.01523	1	270	480	0.200	0.319	0.514
BND2_LB	141	28.398	0.00741	-0.01042	0.01278	1	270	480	0.204	0.329	0.510
BND2_LB	142	28.598	0.01111	-0.00625	0.01275	1	270	480	0.219	0.340	0.514
BND2_LB	143	28.798	0.02593	-0.00833	0.02723	1	270	480	0.204	0.340	0.518
BND2_LB	144	28.998	0.02222	-0.00625	0.02308	1	270	480	0.222	0.346	0.514
BND2_LB	145	29.198	0.05185	-0.00417	0.05202	1	270	480	0.215	0.350	0.525
BND2_LB	146	29.398	0.02963	-0.00417	0.02992	1	270	480	0.211	0.346	0.529
BND2_LB	147	29.598	0.03333	-0.00417	0.03359	1	270	480	0.219	0.342	0.525
BND2_LB	148	29.798	0.49630	-0.00625	0.49634	0	270	480	0.074	0.217	0.541
BND2_LB	149	29.998	-0.02963	-0.00833	0.03078	1	270	480	0.207	0.325	0.533
BND2_LB	150	30.198	-0.01481	-0.00625	0.01608	1	270	480	0.193	0.310	0.553
BND2_LB	151	30.398	-0.01852	-0.00208	0.01864	1	270	480	0.193	0.300	0.561
BND2_LB	152	30.598	-0.00370	0.00000	0.00370	1	270	480	0.178	0.287	0.565
BND2_LB	153	30.798	0.00370	0.00000	0.00370	1	270	480	0.163	0.275	0.569
BND2_LB	154	30.998	0.01481	0.00000	0.01481	1	270	480	0.159	0.256	0.580
BND2_LB	155	31.198	-0.00000	0.00000	0.00000	1	270	480	0.163	0.242	0.573
