index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	72.00	98.55	32.68	0.11	0.07	ankleProxy	32.68				0.02
2	1.00	frame_0002_00-01.png	72.00	98.55	32.68	0.11	0.07	ankleProxy	32.68				0.02
3	2.00	frame_0003_00-02.png	72.00	98.55	32.68	0.11	0.07	ankleProxy	32.68				0.02
4	3.00	frame_0004_00-03.png	72.00	98.55	32.68	0.11	0.07	ankleProxy	32.68	12.46	20.22	55.08	0.01
5	4.00	frame_0005_00-04.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94	12.46	11.53	74.39	0.51
6	5.00	frame_0006_00-05.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94				0.76
7	6.00	frame_0007_00-06.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94				0.76
8	7.00	frame_0008_00-07.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94				0.76
9	8.00	frame_0009_00-08.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94				0.76
10	9.00	frame_0010_00-09.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94				0.76
11	10.00	frame_0011_00-10.png	48.42	21.14	0.94	1.00	0.26	ankleProxy	0.94	-55.83	56.77	0.00	0.56
12	11.00	frame_0012_00-11.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29	-55.83	57.46	0.00	0.10
13	12.00	frame_0013_00-12.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29				0.13
14	13.00	frame_0014_00-13.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29				0.13
15	14.00	frame_0015_00-14.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29				0.13
16	15.00	frame_0016_00-15.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29				0.13
17	16.00	frame_0017_00-16.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29				0.13
18	17.00	frame_0018_00-17.png	64.03	100.00	66.71	0.11	0.07	ankleProxy	-113.29	7.41	59.30	0.00	0.10
19	18.00	frame_0019_00-18.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65	7.41	6.94	84.58	0.15
20	19.00	frame_0020_00-19.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65				0.20
21	20.00	frame_0021_00-20.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65				0.20
22	21.00	frame_0022_00-21.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65				0.20
23	22.00	frame_0023_00-22.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65				0.20
24	23.00	frame_0024_00-23.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65				0.20
25	24.00	frame_0025_00-24.png	70.20	100.00	14.35	0.11	0.07	ankleProxy	-165.65	125.09	69.26	0.00	0.15
26	25.00	frame_0026_00-25.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04	125.09	49.95	0.00	0.60
27	26.00	frame_0027_00-26.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04				0.78
28	27.00	frame_0028_00-27.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04				0.78
29	28.00	frame_0029_00-28.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04				0.78
30	29.00	frame_0030_00-29.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04				0.78
31	30.00	frame_0031_00-30.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04				0.78
32	31.00	frame_0032_00-31.png	50.94	28.58	-4.96	1.00	0.20	ankleProxy	175.04	-146.19	38.76	13.86	0.60
33	32.00	frame_0033_00-32.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70	-146.19	76.11	0.00	0.09
34	33.00	frame_0034_00-33.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70				0.12
35	34.00	frame_0035_00-34.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70				0.12
36	35.00	frame_0036_00-35.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70				0.12
37	36.00	frame_0037_00-36.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70				0.12
38	37.00	frame_0038_00-37.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70				0.12
39	38.00	frame_0039_00-38.png	72.00	84.59	-42.30	0.11	0.07	ankleProxy	137.70	16.53	58.83	0.00	0.09
40	39.00	frame_0040_00-39.png	64.52	50.74	19.08	0.27	0.12	ankleProxy	19.08	16.53	2.55	94.34	0.24
41	40.00	frame_0041_00-40.png	64.52	50.74	19.08	0.27	0.12	ankleProxy	19.08				0.34
42	41.00	frame_0042_00-41.png	64.52	50.74	19.08	0.27	0.12	ankleProxy	19.08				0.34
43	42.00	frame_0043_00-42.png	64.52	50.74	19.08	0.27	0.12	ankleProxy	19.08				0.34
44	43.00	frame_0044_00-43.png	64.52	50.74	19.08	0.27	0.12	ankleProxy	19.08				0.34
