index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	53.40	35.44	2.44	1.00	0.26	ankleProxy	-177.56				0.83
2	1.00	frame_0002_00-01.png	53.40	35.44	2.44	1.00	0.26	ankleProxy	-177.56				0.83
3	2.00	frame_0003_00-02.png	53.40	35.44	2.44	1.00	0.26	ankleProxy	-177.56				0.83
4	3.00	frame_0004_00-03.png	53.40	35.44	2.44	1.00	0.26	ankleProxy	-177.56	-37.85	40.29	10.47	0.58
5	4.00	frame_0005_00-04.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60	-37.85	42.45	5.67	0.31
6	5.00	frame_0006_00-05.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60				0.45
7	6.00	frame_0007_00-06.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60				0.45
8	7.00	frame_0008_00-07.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60				0.45
9	8.00	frame_0009_00-08.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60				0.45
10	9.00	frame_0010_00-09.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60				0.45
11	10.00	frame_0011_00-10.png	47.96	5.09	4.60	0.36	0.12	ankleProxy	4.60	-153.37	22.03	51.04	0.30
12	11.00	frame_0012_00-11.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38	-153.37	29.01	35.53	0.34
13	12.00	frame_0013_00-12.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38				0.50
14	13.00	frame_0014_00-13.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38				0.50
15	14.00	frame_0015_00-14.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38				0.50
16	15.00	frame_0016_00-15.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38				0.50
17	16.00	frame_0017_00-16.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38				0.50
18	17.00	frame_0018_00-17.png	56.62	46.97	-2.38	0.92	0.26	ankleProxy	-2.38	-84.45	82.07	0.00	0.29
19	18.00	frame_0019_00-18.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98	-84.45	85.43	0.00	0.22
20	19.00	frame_0020_00-19.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98				0.38
21	20.00	frame_0021_00-20.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98				0.38
22	21.00	frame_0022_00-21.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98				0.38
23	22.00	frame_0023_00-22.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98				0.38
24	23.00	frame_0024_00-23.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98				0.38
25	24.00	frame_0025_00-24.png	53.78	43.74	0.98	0.70	0.26	ankleProxy	0.98	93.97	87.01	0.00	0.22
26	25.00	frame_0026_00-25.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88	93.97	87.15	0.00	0.25
27	26.00	frame_0027_00-26.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
28	27.00	frame_0028_00-27.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
29	28.00	frame_0029_00-28.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
30	29.00	frame_0030_00-29.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
31	30.00	frame_0031_00-30.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
32	31.00	frame_0032_00-31.png	61.79	32.75	1.12	0.54	0.16	ankleProxy	-178.88				0.44
33	32.00	frame_0033_00-32.png	79.06	53.59	-85.00	0.83	0.18						
34	33.00	frame_0034_00-33.png	79.06	53.59	-85.00	0.83	0.18						
35	34.00	frame_0035_00-34.png	79.06	53.59	-85.00	0.83	0.18						
36	35.00	frame_0036_00-35.png	79.06	53.59	-85.00	0.83	0.18						
37	36.00	frame_0037_00-36.png	79.06	53.59	-85.00	0.83	0.18						
38	37.00	frame_0038_00-37.png	79.06	53.59	-85.00	0.83	0.18						
39	38.00	frame_0039_00-38.png	79.06	53.59	-85.00	0.83	0.18						
40	39.00	frame_0040_00-39.png	79.06	53.59	-85.00	0.83	0.18						
41	40.00	frame_0041_00-40.png	79.06	53.59	-85.00	0.83	0.18						
42	41.00	frame_0042_00-41.png	79.06	53.59	-85.00	0.83	0.18						
