index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	55.26	11.16	-10.07	0.50	0.14	ankleProxy	-5.07				0.59
2	1.00	frame_0002_00-01.png	55.26	11.16	-10.07	0.50	0.14	ankleProxy	-5.07				0.59
3	2.00	frame_0003_00-02.png	55.26	11.16	-10.07	0.50	0.14	ankleProxy	-5.07				0.59
4	3.00	frame_0004_00-03.png	55.26	11.16	-10.07	0.50	0.14	ankleProxy	-5.07	-150.45	34.62	23.07	0.42
5	4.00	frame_0005_00-04.png	62.39	50.38	75.00	0.74	0.16						
6	5.00	frame_0006_00-05.png	62.39	50.38	75.00	0.74	0.16						
7	6.00	frame_0007_00-06.png	62.39	50.38	75.00	0.74	0.16						
8	7.00	frame_0008_00-07.png	62.39	50.38	75.00	0.74	0.16						
9	8.00	frame_0009_00-08.png	62.39	50.38	75.00	0.74	0.16						
10	9.00	frame_0010_00-09.png	62.39	50.38	75.00	0.74	0.16						
11	10.00	frame_0011_00-10.png	62.39	50.38	75.00	0.74	0.16						
12	11.00	frame_0012_00-11.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95	-150.45	43.49	3.35	0.39
13	12.00	frame_0013_00-12.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95				0.55
14	13.00	frame_0014_00-13.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95				0.55
15	14.00	frame_0015_00-14.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95				0.55
16	15.00	frame_0016_00-15.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95				0.55
17	16.00	frame_0017_00-16.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95				0.55
18	17.00	frame_0018_00-17.png	76.89	85.94	6.05	0.29	0.13	ankleProxy	-13.95	0.88	14.83	67.05	0.36
19	18.00	frame_0019_00-18.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39	0.88	14.49	67.80	0.08
20	19.00	frame_0020_00-19.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39				0.11
21	20.00	frame_0021_00-20.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39				0.11
22	21.00	frame_0022_00-21.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39				0.11
23	22.00	frame_0023_00-22.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39				0.11
24	23.00	frame_0024_00-23.png	82.09	94.00	-13.61	0.11	0.07	ankleProxy	166.39				0.11
