index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	73.32	51.80	6.64	0.11	0.07	ankleProxy	-173.36				0.14
2	1.00	frame_0002_00-01.png	73.32	51.80	6.64	0.11	0.07	ankleProxy	-173.36				0.14
3	2.00	frame_0003_00-02.png	73.32	51.80	6.64	0.11	0.07	ankleProxy	-173.36	-17.03	23.66	47.42	0.08
4	3.00	frame_0004_00-03.png											
5	4.00	frame_0005_00-04.png											
6	5.00	frame_0006_00-05.png											
7	6.00	frame_0007_00-06.png											
8	7.00	frame_0008_00-07.png											
9	8.00	frame_0009_00-08.png											
10	9.00	frame_0010_00-09.png											
11	10.00	frame_0011_00-10.png											
12	11.00	frame_0012_00-11.png											
13	12.00	frame_0013_00-12.png											
14	13.00	frame_0014_00-13.png	63.37	73.08	-7.91	0.50	0.15	ankleProxy	-7.91	-17.03	9.11	79.74	0.27
15	14.00	frame_0015_00-14.png	63.37	73.08	-7.91	0.50	0.15	ankleProxy	-7.91				0.45
16	15.00	frame_0016_00-15.png	63.37	73.08	-7.91	0.50	0.15	ankleProxy	-7.91	-148.25	39.66	11.87	0.27
17	16.00	frame_0017_00-16.png											
18	17.00	frame_0018_00-17.png											
19	18.00	frame_0019_00-18.png	74.57	69.21	-23.79	0.11	0.06	ankleProxy	156.21	-148.25	55.53	0.00	0.05
20	19.00	frame_0020_00-19.png	74.57	69.21	-23.79	0.11	0.06	ankleProxy	156.21	158.82	2.60	94.21	0.01
21	20.00	frame_0021_00-20.png	63.95	71.30	-33.30	0.11	0.05	ankleProxy	146.70	158.82	12.12	73.07	0.03
22	21.00	frame_0022_00-21.png	63.95	71.30	-33.30	0.11	0.05	ankleProxy	146.70				0.14
23	22.00	frame_0023_00-22.png	63.95	71.30	-33.30	0.11	0.05	ankleProxy	146.70	179.16	32.47	27.85	0.11
24	23.00	frame_0024_00-23.png	67.50	74.19	-25.50	0.45	0.13	ankleProxy	154.50	179.16	24.67	45.18	0.41
25	24.00	frame_0025_00-24.png	67.50	74.19	-25.50	0.45	0.13	ankleProxy	154.50				0.51
26	25.00	frame_0026_00-25.png	67.50	74.19	-25.50	0.45	0.13	ankleProxy	154.50				0.51
27	26.00	frame_0027_00-26.png	67.50	74.19	-25.50	0.45	0.13	ankleProxy	154.50	26.38	51.88	0.00	0.37
28	27.00	frame_0028_00-27.png											
29	28.00	frame_0029_00-28.png											
30	29.00	frame_0030_00-29.png	61.10	28.88	-4.00	1.00	0.26	ankleProxy	176.00	26.38	30.38	32.49	0.54
31	30.00	frame_0031_00-30.png	61.10	28.88	-4.00	1.00	0.26	ankleProxy	176.00				0.73
32	31.00	frame_0032_00-31.png											
33	32.00	frame_0033_00-32.png											
34	33.00	frame_0034_00-33.png											
35	34.00	frame_0035_00-34.png											
36	35.00	frame_0036_00-35.png											
37	36.00	frame_0037_00-36.png											
38	37.00	frame_0038_00-37.png											
39	38.00	frame_0039_00-38.png											
