index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	86.54	86.60	44.12	0.11	0.07						
2	1.00	frame_0002_00-01.png	86.54	86.60	44.12	0.11	0.07						
3	2.00	frame_0003_00-02.png	86.54	86.60	44.12	0.11	0.07						
4	3.00	frame_0004_00-03.png	86.54	86.60	44.12	0.11	0.07						
5	4.00	frame_0005_00-04.png	86.54	86.60	44.12	0.11	0.07						
6	5.00	frame_0006_00-05.png	61.96	89.98	-40.00	0.71	0.18						
7	6.00	frame_0007_00-06.png	61.96	89.98	-40.00	0.71	0.18						
8	7.00	frame_0008_00-07.png	61.96	89.98	-40.00	0.71	0.18						
9	8.00	frame_0009_00-08.png	61.96	89.98	-40.00	0.71	0.18						
10	9.00	frame_0010_00-09.png	61.96	89.98	-40.00	0.71	0.18						
11	10.00	frame_0011_00-10.png	61.96	89.98	-40.00	0.71	0.18						
12	11.00	frame_0012_00-11.png	61.96	89.98	-40.00	0.71	0.18						
13	12.00	frame_0013_00-12.png	61.96	89.98	-40.00	0.71	0.18						
14	13.00	frame_0014_00-13.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
15	14.00	frame_0015_00-14.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
16	15.00	frame_0016_00-15.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
17	16.00	frame_0017_00-16.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
18	17.00	frame_0018_00-17.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
19	18.00	frame_0019_00-18.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
20	19.00	frame_0020_00-19.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57				0.61
21	20.00	frame_0021_00-20.png	78.36	62.86	-4.57	1.00	0.20	ankleProxy	-4.57	146.04	29.39	34.69	0.40
22	21.00	frame_0022_00-21.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22	146.04	53.27	0.00	0.02
23	22.00	frame_0023_00-22.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
24	23.00	frame_0024_00-23.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
25	24.00	frame_0025_00-24.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
26	25.00	frame_0026_00-25.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
27	26.00	frame_0027_00-26.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
28	27.00	frame_0028_00-27.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
29	28.00	frame_0029_00-28.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
30	29.00	frame_0030_00-29.png	69.82	100.00	-87.22	0.11	0.06	ankleProxy	-87.22				0.03
31	30.00	frame_0031_00-30.png											
32	31.00	frame_0032_00-31.png											
33	32.00	frame_0033_00-32.png											
34	33.00	frame_0034_00-33.png											
35	34.00	frame_0035_00-34.png											
36	35.00	frame_0036_00-35.png											
37	36.00	frame_0037_00-36.png											
