index	time	image	poseScore	calfLeanScore	visualBoardAngle	visualBoardConfidence	visualBoardLength	boardSource	boardAngle	travelAngle	sideslipAngle	carvingConfidence	confidence
1	0.00	frame_0001_00-00.png	72.00	68.01	-65.26	0.11	0.06	ankleProxy	114.74				0.16
2	1.00	frame_0002_00-01.png	72.00	68.01	-65.26	0.11	0.06	ankleProxy	114.74				0.16
3	2.00	frame_0003_00-02.png	72.00	68.01	-65.26	0.11	0.06	ankleProxy	114.74	-102.31	37.04	17.68	0.11
4	3.00	frame_0004_00-03.png	72.00	74.12	-73.48	0.11	0.05	ankleProxy	106.52	-102.31	28.83	35.94	0.07
5	4.00	frame_0005_00-04.png	72.00	74.12	-73.48	0.11	0.05	ankleProxy	106.52				0.09
6	5.00	frame_0006_00-05.png	72.00	74.12	-73.48	0.11	0.05	ankleProxy	106.52				0.09
7	6.00	frame_0007_00-06.png	72.00	74.12	-73.48	0.11	0.05	ankleProxy	106.52	48.47	58.05	0.00	0.06
8	7.00	frame_0008_00-07.png											
9	8.00	frame_0009_00-08.png											
10	9.00	frame_0010_00-09.png											
11	10.00	frame_0011_00-10.png	72.83	39.61	9.60	0.44	0.19	ankleProxy	14.60	48.47	33.87	24.73	0.21
12	11.00	frame_0012_00-11.png	72.83	39.61	9.60	0.44	0.19	ankleProxy	14.60				0.30
13	12.00	frame_0013_00-12.png	72.83	39.61	9.60	0.44	0.19	ankleProxy	14.60				0.30
14	13.00	frame_0014_00-13.png											
15	14.00	frame_0015_00-14.png											
16	15.00	frame_0016_00-15.png											
17	16.00	frame_0017_00-16.png											
18	17.00	frame_0018_00-17.png											
